task_id,test_idx,n_views,n_unique_grids,view_level_accuracy,top1_share,top2_share,top1_top2_gap,vote_entropy,top1_correct
3b4c2228,0,510,22,0.4843137254901961,0.4843137254901961,0.13725490196078433,0.34705882352941175,1.7506343919855134,True
3b4c2228,1,510,45,0.1784313725490196,0.22156862745098038,0.1784313725490196,0.043137254901960784,2.361434705723203,False
3d31c5b3,0,510,110,0.12156862745098039,0.18235294117647058,0.12156862745098039,0.060784313725490195,3.3866046356339656,False
3ed85e70,0,510,313,0.0,0.060784313725490195,0.0392156862745098,0.021568627450980392,5.381090409163024,False
3ee1011a,0,510,354,0.0,0.0784313725490196,0.027450980392156862,0.050980392156862744,5.5629648549792705,False
3f23242b,0,510,236,0.00196078431372549,0.24705882352941178,0.043137254901960784,0.20392156862745098,4.362522822968287,False
40f6cd08,0,510,380,0.0,0.00784313725490196,0.00784313725490196,0.0,5.838416539875202,False
414297c0,0,510,394,0.0,0.00980392156862745,0.00784313725490196,0.00196078431372549,5.891312754789269,False
423a55dc,0,510,112,0.0,0.18823529411764706,0.09411764705882353,0.09411764705882353,3.6266423409988198,False
42918530,0,510,4,0.49607843137254903,0.49607843137254903,0.2411764705882353,0.2549019607843137,1.192841581258913,True
42a15761,0,510,164,0.0,0.07058823529411765,0.050980392156862744,0.0196078431372549,4.568716991581222,False
4364c1c4,0,510,196,0.30980392156862746,0.30980392156862746,0.07647058823529412,0.23333333333333334,3.912809497454266,True
456873bc,0,510,327,0.0,0.01764705882352941,0.013725490196078431,0.00392156862745098,5.611545556354966,False
45737921,0,510,1,1.0,1.0,0.0,1.0,0.0,True
45bbe264,0,510,6,0.9882352941176471,0.9882352941176471,0.00392156862745098,0.984313725490196,0.08232301303388186,True
477d2879,0,510,366,0.1,0.1,0.021568627450980392,0.0784313725490196,5.506742357298018,True
47996f11,0,510,381,0.0,0.00784313725490196,0.00784313725490196,0.0,5.847597189340152,False
48131b3c,0,510,32,0.9058823529411765,0.9058823529411765,0.00980392156862745,0.8960784313725491,0.6193988929165951,True
4852f2fa,0,510,64,0.0,0.3431372549019608,0.1450980392156863,0.1980392156862745,2.7133944486226236,False
4852f2fa,1,510,114,0.0,0.4392156862745098,0.10784313725490197,0.33137254901960783,2.7947617122309123,False
48f8583b,0,510,213,0.43333333333333335,0.43333333333333335,0.045098039215686274,0.38823529411764707,3.5211055853532116,True
4aab4007,0,510,55,0.8411764705882353,0.8411764705882353,0.01568627450980392,0.8254901960784313,1.0445687054222665,True
4acc7107,0,510,425,0.0,0.01568627450980392,0.00980392156862745,0.0058823529411764705,5.973578893953861,False
4b6b68e5,0,510,414,0.0,0.013725490196078431,0.00980392156862745,0.00392156862745098,5.926185614104354,False
4c177718,0,510,83,0.0,0.26666666666666666,0.050980392156862744,0.21568627450980393,3.4452658910359486,False
4c177718,1,510,123,0.0,0.16862745098039217,0.06862745098039216,0.1,3.992465993425825,False
4cd1b7b2,0,510,28,0.8294117647058824,0.8294117647058824,0.060784313725490195,0.7686274509803922,0.8676919758465235,True
4e45f183,0,510,293,0.0,0.03725490196078431,0.03333333333333333,0.00392156862745098,5.3764460195271155,False
4e469f39,0,510,72,0.7490196078431373,0.7490196078431373,0.03137254901960784,0.7176470588235294,1.5288348972762649,True
4f537728,0,510,1,1.0,1.0,0.0,1.0,0.0,True
4ff4c9da,0,510,366,0.0,0.01568627450980392,0.013725490196078431,0.00196078431372549,5.7655332651358036,False
505fff84,0,510,245,0.0,0.043137254901960784,0.029411764705882353,0.013725490196078431,5.122754002595055,False
506d28a5,0,510,28,0.8666666666666667,0.8666666666666667,0.023529411764705882,0.8431372549019608,0.7789952709088672,True
